_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
dunlemi01,21-Mar-54,"Brooklyn, New York",3.9,46.7,33.9,81,438,14,8,1.6,16.1,49.2,University of South Carolina,99th overall,6th round,Philadelphia 76ers,1976,3-Jun,"Nazareth Regional in Brooklyn, New York",Mike Dunleavy,Point Guard and Shooting Guard,Right,180lb
englial01,5-Jan-54,"Columbia, South Carolina",3.6,50.7,21.7,83.2,1193,19.9,21.5,5.5,100.7,50.7,University of South Carolina,23rd overall,2nd round,Milwaukee Bucks,1976,7-Jun,"Dreher in Columbia, South Carolina",Alex English,Small Forward,Right,190lb
feherbu01,19-May-54,"Flint, Michigan",0.8,53.1,,76.8,48,15.9,5.2,1.5,1.5,,Vanderbilt University,33rd overall,2nd round,Phoenix Suns,1976,4-Jun,"Alpena in Alpena, Michigan",Butch Feher,Shooting Guard,Right,185lb
flemial01,5-Apr-54,"Chicago, Illinois",0.4,48.4,,58.8,20,10.7,2,1.5,0,,University of Arizona,30th overall,2nd round,Phoenix Suns,1976,7-Jun,"Elston in Michigan City, Indiana",Al Fleming,Small Forward,Right,215lb
furlote01,18-Oct-54,"Flint, Michigan",2.4,45.9,29.3,86.2,239,16.2,10.7,2.1,7.3,46.5,Michigan State University,12th overall,1st round,Philadelphia 76ers,1976,4-Jun,"Flint Northern in Flint, Michigan",Terry Furlow,Shooting Guard,Left,190lb
griffpa01,20-Jan-54,"Shelby, Michigan",2.3,50.5,-,69.2,480,11.9,5.1,5.5,19.6,50.5,Western Michigan University,74th overall,5th round,New Orleans Jazz,1976,9-Jun,"Shelby in Shelby, Michigan",Paul Griffin,Power Forward and Center,Right,205lb
hansela01,14-Sep-54,"Copenhagen, Denmark",0.9,50.9,,58.1,15,13.6,5.1,3.9,0.6,,University of Washington,37th overall,3rd round,Chicago Bulls,1976,10-Jun,"Centennial Secondary in Coquitlam, Canada",Lars Hansen,Center,Right,225lb
hillar01,31-Mar-53,"Brooklyn, New York",4.7,40.8,7.7,82.9,468,10.2,6.9,2,11.3,40.8,Princeton University,9th overall,1st round,Atlanta Hawks,1976,4-Jun,"Bishop Ford in Brooklyn, New York",Armond Hill,Point Guard,Right,190lb
howarmo01,25-Aug-54,"Philadelphia, Pennsylvania",1.3,48.5,,68.6,32,14.5,4.8,1.2,0.6,,University of Maryland,32nd overall,2nd round,Cleveland Cavaliers,1976,2-Jun,"Saint Joseph's Preparatory School in Philadelphia, Pennsylvania",Mo Howard,Shooting Guard,Right,170lb
johnsde01,18-Sep-54,"San Pedro, California",5,44.5,17.2,79.7,1100,14.6,14.1,3.9,82.6,44.8,Pepperdine University,29th overall,2nd round,Seattle SuperSonics,1976,4-Jun,"Dominguez in Compton, California",Dennis Johnson,Point Guard and Shooting Guard,Right,185lb
jonesma01,9-Jul-53,"McGhee, Arkansas",0.6,49,11.1,58.6,374,11.3,4.4,3.5,5.5,49,Albany State University,20th overall,2nd round,Portland Trail Blazers,1976,9-Jun,"Desha Central in Rohwer, Arkansas",Major Jones,Power Forward,Right,225lb
kupchmi01,24-May-54,"Hicksville, New York",0.7,52.3,0,70.4,510,16.2,10.2,5.4,27.1,52.3,University of North Carolina,13th overall,1st round,Washington Bullets,1976,9-Jun,"Brentwood in Brentwood, New York",Mitch Kupchak,Center and Power Forward,Right,230lb
lawreed01,8-Dec-52,"Lake Charles, Louisiana",0.3,62.5,-,50,3,19.4,4,1.3,0.1,62.5,McNeese State University,84th overall,5th round,Cleveland Cavaliers,1976,Jul-00,"W.O. Boston in Lake Charles, Louisiana",Edmund Lawrence,Center,Right,228lb
leero01,2-Nov-52,"Boston, Massachusetts",3.8,41.6,32.1,70.5,448,12.4,7.3,2.7,10.7,42.3,University of Oregon,10th overall,1st round,Phoenix Suns,1976,4-Jun,"Lexington in Lexington, Massachusetts",Ron Lee,Point Guard,Right,193lb
lloydsc01,19-Dec-52,"Chicago, Illinois",1,42.5,28.6,71.8,372,8.5,4.6,3,2.5,42.6,Arizona State University,24th overall,2nd round,Milwaukee Bucks,1976,10-Jun,"East in Phoenix, Arizona",Scott Lloyd,Power Forward and Center,Right,230lb
lucasjo01,31-Oct-53,"Durham, North Carolina",7,44.9,30.3,77.6,928,15.9,10.7,2.3,53.7,46.3,University of Maryland,1st overall,1st round,Houston Rockets,1976,3-Jun,"Hillside in Durham, North Carolina",John Lucas,Shooting Guard and Point Guard,Left,175lb
maysc01,19-Mar-54,"Sandusky, Ohio",1.7,46.2,0,81.1,355,14.2,10.4,4.1,17.4,46.2,Indiana University,2nd overall,1st round,Chicago Bulls,1976,7-Jun,"Sandusky in Sandusky, Ohio",Scott May,Small Forward,Right,215lb
